"Id","TSN","PSN","PET","NPP","RE","CVE","SR"
1,656.217041015625,65.7074966430664,1127.2724609375,850.78125,1958.91,77.03,0
2,657.489074707031,65.1129913330078,1126.453125,850.552429199219,1958.91,78.36,0
3,436.344940185547,81.4846572875977,1163.61682128906,877.956481933594,3640.87,23.45,0
4,631.518432617188,70.9472503662109,1091.34191894531,852.828063964844,2330.02,73.41,0
5,640.944152832031,69.7075424194336,1096.26989746094,861.569946289062,2071.89,72.01,0
6,647.744262695312,68.5999755859375,1099.86633300781,863.1826172,1980.38,71.65,0
7,654.092224121094,67.5142211914062,1102.14672851562,858.220886230469,1981.04,71.74,0
8,659.4580078,66.5007019042969,1104.10009765625,848.886779785156,1984.63,72.97,0
9,663.776306152344,65.6389389038086,1105.949219,843.722473144531,1958.91,73.94,0
10,667.177429199219,64.7837448120117,1106.83166503906,837.478210449219,1958.91,75.17,0
11,668.740295410156,64.0660705566406,1106.50646972656,835.243286132812,1958.91,77.06,0
12,669.620361328125,63.4081611633301,1105.1025390625,834.861022949219,1958.91,78.97,0
13,670.926513671875,62.6840858459473,1104.06872558594,833.306335449219,1958.91,80.41,0
14,441.260650634766,81.5343017578125,1144.44738769531,863.740539550781,4856.04,25.08,0
15,445.809967041016,81.8776016235352,1134.92114257812,855.742126464844,4649.26,25.38,0
16,451.626129150391,82.2435073852539,1126.45458984375,852.290710449219,3689.85,25.9,0
17,638.88720703125,70.3334426879883,1070.73962402344,838.222106933594,2393.55,71.86,0
18,649.303283691406,68.9992904663086,1075.70581054688,845.219848632812,2125.07,70.07,0
19,657.044738769531,67.828010559082,1079.29345703125,844.843811035156,1980.38,70.05,0
20,663.999877929688,66.7440872192383,1082.2744140625,840.78466796875,1981.14,70.29,0
21,669.907897949219,65.7073516845703,1084.91528320312,833.320434570312,1984.63,71.15,0
22,674.3769531,64.7634811401367,1086.9345703125,827.861145019531,1984.63,72.6,0
23,678.047485351562,63.8249931335449,1088.21057128906,822.3671875,1984.63,73.39,0
24,679.998779296875,63.0151557922363,1088.58081054688,821.051940917969,1958.91,74.71,0
25,681.480712890625,62.273078918457,1088.68432617188,817.599243164062,1996.9,77.1,0
26,682.960388183594,61.5096130371094,1088.61474609375,814.69482421875,1996.9,78.77,0
27,683.606628417969,60.9891929626465,1088.80810546875,817.296569824219,1996.9,79.56,0
28,447.248016357422,81.7891540527344,1122.70971679688,852.745422363281,4866.87,27.32,0
29,452.558715820312,82.1326293945312,1113.31384277344,848.621215820312,4866.87,27.52,0
30,459.116638183594,82.4266738891602,1104.07092285156,845.745971679688,4866.87,27.99,0
31,466.689422607422,82.6834716796875,1096.74072265625,841.6494141,5016.27,29.1,0
32,475.505981445312,82.7745361328125,1090.18725585938,838.858276367188,4873.38,31.57,0
33,485.435913085938,82.6717300415039,1082.29553222656,837.780578613281,4030.31,33.55,0
34,497.503601074219,82.6076965332031,1075.47119140625,833.926513671875,3946.5,35.76,0
35,512.104858398438,82.1525955200195,1068.91040039062,831.826599121094,3992.61,39.54,0
36,604.8349609,74.3411254882812,1046.25244140625,795.976257324219,3987.39,64.59,0
37,620.231689453125,72.7214813232422,1047.74279785156,800.778442382812,2870.34,67.93,0
38,633.912902832031,71.2209014892578,1050.255859,813.595764160156,2762.06,70.22,0
39,646.570068359375,69.7574691772461,1054.07604980469,821.211669921875,2736.59,71.19,0
40,657.759582519531,68.3523178100586,1057.98095703125,827.227722167969,2295.13,69.22,0
41,666.109741210938,67.128532409668,1060.47033691406,827.61474609375,2001.67,68.91,0
42,673.4892578,66.0312805175781,1063.18823242188,823.912475585938,1981.57,69.49,0
43,679.804260253906,64.9629669189453,1066.66735839844,817.39599609375,1984.63,71,0
44,684.625,63.9310150146484,1069.31616210938,811.488403320312,1984.63,72.02,0
45,688.406372070312,62.9194107055664,1070.75256347656,809.342651367188,1984.63,72.36,0
46,690.723754882812,62.0408973693848,1072.02868652344,805.171569824219,1996.9,74.57,0
47,692.80224609375,61.238166809082,1073.58911132812,800.798461914062,1996.9,75.35,0
48,694.634094238281,60.4741439819336,1075.63708496094,796.578369140625,1996.9,77.3,0
49,695.536315917969,59.9742965698242,1077.22009277344,796.504333496094,1996.9,77.88,0
50,695.359008789062,59.6556663513184,1075.76721191406,799.423767089844,1996.9,78.55,0
51,694.139770507812,59.4000473022461,1072.84924316406,803.158264160156,1994.23,77.23,0
52,692.515808105469,59.2088966369629,1071.58325195312,805.755187988281,1996.9,74.98,0
53,690.499389648438,59.1384735107422,1070.64965820312,806.482482910156,1996.9,73.08,0
54,689.553894042969,59.1535186767578,1070.23571777344,801.4179688,1996.9,70.87,0
55,450.006500244141,81.8104705810547,1107.49072265625,851.355163574219,4866.87,29.71,0
56,454.317138671875,82.2694931030273,1097.95788574219,843.761352539062,4866.87,29.5,0
57,460.299743652344,82.5418090820312,1088.51782226562,838.168395996094,4866.87,29.62,0
58,467.573028564453,82.7247314453125,1079.04699707031,833.899169921875,4866.87,29.99,0
59,475.843811035156,82.772575378418,1071.20532226562,830.994201660156,5027.11,31.43,0
60,485.190551757812,82.6582107543945,1066.080078,828.510314941406,5091,33.08,0
61,495.435211181641,82.3405303955078,1060.45654296875,827.917785644531,5140.78,34.73,0
62,507.202545166016,82.0282669067383,1054.76672363281,824.897644042969,4030.72,36.56,0
63,521.627563476562,81.6002960205078,1048.97570800781,822.5917969,4076.83,39.53,0
64,539.472900390625,80.6750564575195,1044.15930175781,816.927551269531,4083.66,43.94,0
65,559.378051757812,79.2035217285156,1039.353516,806.081909179688,4000.05,48.36,0
66,578.838500976562,77.4685745239258,1036.183594,794.509216308594,4000.63,53.52,0
67,597.36767578125,75.6490707397461,1032.578125,787.163024902344,4026.51,58.77,0
68,613.407165527344,73.9431838989258,1031.02551269531,786.858825683594,4034.43,62.85,0
69,628.395263671875,72.29833984,1031.94677734375,788.625549316406,3786.83,66.53,0
70,641.9765625,70.7378463745117,1034.19299316406,798.634338378906,2762.06,68.67,0
71,654.464233398438,69.2417831420898,1039.16979980469,805.479431152344,2762.06,70.63,0
72,666.040649414062,67.7923202514648,1043.13146972656,810.055419921875,2738.66,69.4,0
73,674.7802734,66.5285339355469,1046.82727050781,809.840209960938,2344.48,68.57,0
74,682.417907714844,65.3910140991211,1049.49853515625,805.786804199219,2345.15,69.13,0
75,688.917175292969,64.2841186523438,1052.59545898438,801.808166503906,2348.73,70.87,0
76,693.872863769531,63.1923751831055,1054.9375,798.701232910156,2002.69,72.15,0
77,698.070373535156,62.1282196044922,1057.24169921875,794.985961914062,1996.9,72.6,0
78,700.999694824219,61.2016220092773,1060.01135253906,790.768005371094,1996.9,74.1,0
79,703.568664550781,60.3577156066895,1062.13916015625,785.535583496094,1996.9,75.61,0
80,705.58642578125,59.6241569519043,1064.59252929688,780.989196777344,1996.9,76.93,0
81,706.624938964844,59.1538925170898,1066.01538085938,779.30810546875,1996.9,78.14,0
82,706.630065917969,58.8808937072754,1065.64599609375,778.847229003906,1996.9,78.37,0
83,705.844909667969,58.6857376098633,1064.20642089844,780.410827636719,1996.9,78.14,0
84,704.5722656,58.566219329834,1064.2216796875,782.6318359,1996.9,76.39,0
85,703.919799804688,58.5175018310547,1064.62805175781,778.277954101562,1996.9,74.85,0
86,703.645935058594,58.5653839111328,1064.56274414062,772.207214355469,1996.9,73.49,0
87,702.056457519531,58.7604827880859,1065.75622558594,766.159912109375,1996.9,72.06,0
88,700.032165527344,59.0002555847168,1067.11071777344,766.198181152344,1996.9,69.91,0
89,458.326812744141,82.3863296508789,1077.49682617188,833.981201171875,4987.77,32.86,0
90,463.136138916016,82.7742462158203,1069.02783203125,826.776611328125,4987.77,32.54,0
91,469.394256591797,82.9451751708984,1059.3212890625,821.9902344,4987.77,32.38,0
92,477.110748291016,82.9547576904297,1050.12927246094,819.345886230469,4987.77,32.75,0
93,486.199127197266,82.8404693603516,1043.42272949219,817.993957519531,5027.11,34.02,0
94,495.966857910156,82.5422821044922,1039.69836425781,817.500732421875,5091,35.26,0
95,506.074340820312,82.0714645385742,1036.70556640625,818.8486328,5151.62,36.84,0
96,517.432006835938,81.5645141601562,1033.35131835938,816.137390136719,5141.19,38.53,0
97,531.124816894531,81.0968170166016,1029.32043457031,813.514587402344,4164.37,40.82,0
98,549.445129394531,80.2114028930664,1025.24731445312,804.343444824219,4078.36,44.9,0
99,568.626037597656,78.8286437988281,1021.25268554688,795.297119140625,4084.27,48.67,0
100,587.85791015625,77.1276168823242,1018.78161621094,784.6689453,4000.37,53.5,0
101,605.98291015625,75.3159561157227,1016.92248535156,777.245361328125,4022.07,58.22,0
102,621.875793457031,73.5502319335938,1015.29260253906,777.0703125,4034.43,62.14,0
103,636.729614257812,71.8761444091797,1016.51782226562,776.715515136719,4034.43,65.12,0
104,650.379211425781,70.2758026123047,1019.57135009766,784.847778320312,3096.23,67.25,0
105,662.777282714844,68.7497787475586,1023.31762695312,790.400573730469,2762.06,69.35,0
106,673.956359863281,67.2917022705078,1027.56604003906,794.892211914062,2738.66,68.93,0
107,682.770812988281,66.0115051269531,1032.40783691406,794.662780761719,2342.36,68.29,0
108,690.643737792969,64.830810546875,1036.60009765625,790.552795410156,2345.15,68.8,0
109,697.239868164062,63.6821098327637,1040.1162109375,786.754516601562,2348.73,70.23,0
110,702.31884765625,62.5428085327148,1042.53137207031,785.3837891,2348.73,72,0
111,706.939208984375,61.4516944885254,1045.12060546875,783.486511230469,2348.73,72.81,0
112,710.576965332031,60.5231704711914,1048.86096191406,778.509887695312,1996.9,74.02,0
113,713.81396484375,59.6472549438477,1051.51159667969,772.247375488281,1996.9,75.58,0
114,715.950439453125,58.9723358154297,1054.18579101562,766.459289550781,1996.9,76.73,0
115,717.127258300781,58.5502166748047,1055.85961914062,764.066284179688,1996.9,77.75,0
116,717.23779296875,58.3005104064941,1056.32678222656,761.455993652344,1996.9,78.61,0
117,716.891723632812,58.1620559692383,1056.72204589844,762.171264648438,1996.9,78.58,0
118,716.535949707031,58.0812492370605,1057.74047851562,760.942443847656,1996.9,78.19,0
119,716.9501953,58.048885345459,1059.0576171875,753.545227050781,1996.9,77.37,0
120,716.79541015625,58.1386680603027,1060.2939453125,745.118835449219,1996.9,76.64,0
121,715.365783691406,58.3359909057617,1061.1357421875,739.277526855469,2043.82,76.1,0
122,713.923645019531,58.5947532653809,1062.38793945312,737.317993164062,2043.82,74.5,0
123,711.589050292969,58.9276008605957,1066.16857910156,737.534545898438,2043.82,72.63,0
124,462.87744140625,81.4868011474609,1057.98181152344,833.452087402344,5093.84,36.62,1
125,465.092529296875,82.5167007446289,1049.42468261719,820.547485351562,5093.84,36.51,0
126,468.288970947266,83.0921020507812,1042.40063476562,807.46337890625,5093.84,35.75,0
127,472.959350585938,83.353385925293,1035.69519042969,801.085998535156,5093.84,35.24,0
128,479.784912109375,83.3284301757812,1026.71875,799.91650390625,4987.77,35.41,0
129,488.359161376953,83.1161880493164,1018.33776855469,799.621887207031,4987.77,36.14,0
130,497.72119140625,82.8613510131836,1012.304688,799.245178222656,5107.67,37.66,0
131,507.0703125,82.4949340820312,1009.45477294922,801.129577636719,5197.76,39.1,0
132,516.745178222656,81.9254608154297,1009.54809570312,804.656372070312,5139.42,40.7,0
133,527.466186523438,81.2855911254883,1009.36627197266,804.723205566406,5151.62,42.11,0
134,540.859741210938,80.7163314819336,1008.18719482422,802.140747070312,4543,43.65,0
135,558.766662597656,79.8475875854492,1005.90002441406,792.031372070312,4283.95,46.71,0
136,577.201049804688,78.5383453369141,1002.779297,783.078125,4083.66,50.16,0
137,596.290832519531,76.8831787109375,1000.96343994141,773.244079589844,4084.27,54.36,0
138,613.794128417969,75.0749359130859,999.138549804688,766.214904785156,4022.07,58.79,0
139,629.868591308594,73.24804688,999.106506347656,765.469299316406,4034.43,62.06,0
140,644.850952148438,71.4931945800781,1001.08758544922,764.425109863281,4034.43,64.64,0
141,658.919677734375,69.828987121582,1004.42645263672,769.858703613281,3789.02,66.53,0
142,671.407836914062,68.2604598999023,1007.99298095703,775.151977539062,2776.29,68.39,0
143,681.915710449219,66.8138885498047,1011.60626220703,780.030944824219,2738.66,68.44,0
144,690.6962891,65.5167694091797,1016.71636962891,780.074401855469,2407.18,68.24,0
145,698.068115234375,64.3221588134766,1021.66223144531,776.908386230469,2345.15,68.87,0
146,704.878356933594,63.1485137939453,1027.08752441406,773.332214355469,2348.73,70.4,0
147,710.391174316406,61.9598693847656,1030.02478027344,772.372497558594,2348.73,72.04,0
148,715.512084960938,60.8694458007812,1033.91687011719,769.046325683594,2348.73,73.51,0
149,719.812194824219,59.9169044494629,1037.97302246094,763.442321777344,2348.73,75.44,0
150,723.500305175781,59.074462890625,1041.148438,756.799438476562,2348.73,76.71,0
151,725.860046386719,58.4758644104004,1044.24975585938,751.789306640625,1996.9,77.51,0
152,727.057189941406,58.1041526794434,1046.69519042969,747.876892089844,1996.9,78.17,0
153,727.475463867188,57.8832054138184,1048.71862792969,744.465698242188,1996.9,78.99,0
154,727.487182617188,57.7529792785645,1049.13061523438,743.463562011719,1996.9,79.55,0
155,727.955688476562,57.6786651611328,1051.15576171875,740.519409179688,1996.9,79.12,0
156,728.899291992188,57.6671524047852,1053.60314941406,731.36962890625,1996.9,78.96,0
157,728.594299316406,57.7955741882324,1055.74487304688,722.271118164062,2043.82,79.46,0
158,728.119384765625,57.9652671813965,1057.17565917969,714.429016113281,2043.82,79.05,0
159,726.890869140625,58.2274703979492,1059.13037109375,712.445678710938,2043.82,78.47,0
160,725.066101074219,58.5400199890137,1061.56848144531,712.469909667969,2043.82,77.56,0
161,722.153076171875,58.8188209533691,1066.95202636719,716.60693359375,2043.82,76.1,0
162,476.558410644531,83.4172668457031,1011.64410400391,786.436584472656,5430.73,38.61,1
163,479.432098388672,83.8494567871094,1003.4365234375,775.713806152344,5430.73,37.99,0
164,484.193756103516,83.9223785400391,995.696716308594,773.711669921875,5093.84,37.72,0
165,491.850982666016,83.7038192749023,990.872009277344,773.906494140625,5280.81,38.31,0
166,500.894775390625,83.3453979492188,985.21240234375,774.460021972656,5357.9,39.71,0
167,509.826629638672,82.9967346191406,980.310241699219,776.950073242188,5401.51,41.63,0
168,518.593872070312,82.5377578735352,978.9814453,778.428894042969,5460.46,43.7,0
169,527.5029297,81.9494323730469,981.513000488281,782.666870117188,5535.81,45.41,0
170,537.85302734375,81.2146377563477,983.255187988281,786.709350585938,5467.84,46.69,0
171,551.103820800781,80.4995803833008,985.544677734375,785.13330078125,5152.03,47.61,0
172,567.956298828125,79.6704025268555,986.0898438,776.067749023438,4833.83,49.42,0
173,585.927856445312,78.43164063,984.563720703125,768.584350585938,4589.11,52.41,0
174,604.056762695312,76.8274688720703,983.568969726562,760.637573242188,4083.66,55.81,0
175,621.240356445312,74.991081237793,982.388122558594,754.255004882812,4084.27,59.84,0
176,637.567504882812,73.0712356567383,982.409423828125,751.435791015625,4022.07,63.18,0
177,652.772521972656,71.2238845825195,985.109985351562,751.166137695312,4034.43,65.28,0
178,667.044677734375,69.4580535888672,988.285034179688,754.447143554688,3786.83,66.73,0
179,680.063171386719,67.8052215576172,992.152587890625,758.929992675781,2776.29,67.9,0
180,690.562133789062,66.3218688964844,995.865356445312,764.044250488281,2762.06,67.57,0
181,698.958129882812,65.0102157592773,1000.96374511719,766.043273925781,2738.66,67.73,0
182,705.737609863281,63.8237915039062,1005.84991455078,765.178344726562,2344.48,69,0
183,712.038696289062,62.6527099609375,1010.88342285156,761.422180175781,2345.15,71.06,0
184,718.179992675781,61.4300155639648,1014.25610351562,757.871765136719,2348.73,72.96,0
185,723.826477050781,60.3327865600586,1019.11224365234,754.979309082031,2348.73,74.38,0
186,729.105712890625,59.3655014038086,1024.6455078125,748.947570800781,2348.73,76.4,0
