"Id","TSN","PSN","PET","NPP","RE","CVE","SR"
1,541.065490722656,70.2181930541992,1215.42895507812,937.896667480469,1032.48,75.22,0
2,527.343200683594,72.2624359130859,1189.36828613281,1003.53955078125,1318.53,67.7,0
3,377.237976074219,87.0807037353516,1183.63513183594,1157.69946289062,1185.6,16.9,0
4,577.186889648438,73.8748092651367,1161.38024902344,769.797302246094,608.67,63.33,0
5,592.117919921875,70.3565826416016,1160.99682617188,794.096374511719,351.39,49.38,0
6,607.562072753906,68.4166870117188,1162.57751464844,749.845458984375,641.62,56.84,0
7,611.691589355469,69.0174865722656,1175.38781738281,747.944702148438,598.18,63.44,0
8,602.301940917969,68.3729019165039,1182.10070800781,705.074401855469,867.71,93.19,0
9,585.295349121094,66.6945419311523,1187.18774414062,823.43505859375,909.64,73.28,0
10,565.163818359375,68.3589096069336,1182.2763671875,936.527221679688,915.13,63.92,0
11,552.409301757812,70.9559097290039,1171.70556640625,983.702331542969,932.68,49.37,0
12,555.057189941406,71.2236175537109,1150.13061523438,1034.81262207031,1095.16,61.71,0
13,559.987670898438,70.413459777832,1147.01220703125,985.589721679688,890.07,85.59,0
14,389.817657470703,87.6872329711914,1176.439453,1138.49792480469,1599.89,19.62,0
15,386.179992675781,86.7660217285156,1135.67370605469,1100.28161621094,1908.26,24.01,0
16,385.724487304688,85.4875946044922,1124.66552734375,1039.46533203125,1438.82,16.21,0
17,591.3271484,72.9070281982422,1151.20336914062,857.395812988281,596.63,55.2,0
18,603.370727539062,68.8064041137695,1139.138672,835.142517089844,1489.63,91.24,0
19,616.733032226562,66.4826278686523,1151.49487304688,756.605834960938,1406.13,111.48,0
20,623.765930175781,66.811653137207,1166.97277832031,729.714050292969,516.93,55.65,0
21,616.122192382812,66.7897491455078,1174.01208496094,733.360229492188,621.31,78.83,0
22,604.86669921875,65.8056793212891,1170.62817382812,858.248901367188,1061.15,105.5,0
23,597.405456542969,66.8828201293945,1173.38854980469,918.888061523438,941.32,96.57,0
24,590.801391601562,68.5793380737305,1165.560547,1074.96374511719,593.36,66.35,0
25,585.234680175781,68.9642944335938,1148.64965820312,1043.03869628906,820.9,77.11,0
26,580.137451171875,68.1192398071289,1121.67651367188,999.322692871094,818.9,76.65,0
27,584.181274414062,66.4595031738281,1106.43615722656,1015.45324707031,812.59,93.92,0
28,401.909759521484,87.1811065673828,1137.82604980469,1065.31872558594,2377.18,25.82,0
29,399.948669433594,86.4056625366211,1120.63305664062,1047.66967773438,1473.82,19.91,0
30,403.031463623047,85.0778350830078,1116.20959472656,991.7412109,2155.55,29.77,0
31,407.453216552734,84.9824066162109,1083.32653808594,884.667602539062,2050.51,28.55,0
32,413.973175048828,86.202262878418,1071.50085449219,853.367248535156,2011.93,24.11,0
33,420.441558837891,87.1525802612305,1040.80712890625,808.144348144531,1299.11,15.07,0
34,431.981414794922,86.7156600952148,1033.93432617188,738.241333007812,1186.55,15.11,0
35,442.971221923828,85.1823577880859,1000.75341796875,745.410278320312,1394.76,14.21,0
36,548.189392089844,85.0673141479492,1098.51391601562,945.364318847656,969.66,49.64,0
37,561.8828125,81.9972076416016,1125.68103027344,939.658142089844,1084.77,58.1,0
38,586.698547363281,77.2693862915039,1137.35632324219,946.207885742188,706.67,36.87,0
39,607.545349121094,72.6924896240234,1126.10241699219,878.95947265625,677.33,42.68,0
40,623.2216797,68.6882171630859,1116.85791015625,862.739135742188,1439.82,59.15,0
41,633.522033691406,66.2294692993164,1123.51904296875,818.005737304688,1480.15,74.02,0
42,643.278442382812,65.422248840332,1152.32397460938,765.412353515625,493.97,53.54,0
43,637.824401855469,65.6134872436523,1139.83312988281,758.047607421875,1085.42,85.21,0
44,628.278747558594,65.3767318725586,1128.77807617188,809.659851074219,1586.53,95.65,0
45,628.637329101562,65.8864440917969,1136.03295898438,1058.90686035156,893.87,73.3,0
46,625.51708984375,66.9081420898438,1122.97546386719,1043.14099121094,1100.61,85.87,0
47,617.85986328125,66.6424407958984,1113.97619628906,1077.71130371094,1100.61,83.92,0
48,610.455505371094,65.7312164306641,1099.36511230469,1041.13452148438,979.4,89.25,0
49,606.127319335938,65.2463302612305,1070.44494628906,941.406311035156,1119.92,81.34,0
50,611.068420410156,65.4197845458984,1070.62219238281,937.663879394531,863.77,88.69,0
51,604.931579589844,66.232307434082,1069.22241210938,946.435913085938,1048.28,92.4,0
52,594.729309082031,66.9545593261719,1076.61413574219,946.442626953125,886.89,61.95,0
53,584.989318847656,67.7894592285156,1101.96398925781,1118.35986328125,720.66,65.04,0
54,577.496887207031,66.1809616088867,1104.3974609375,1004.72045898438,941.39,81.43,0
55,408.3525391,84.0117874145508,1091.55334472656,1005.29968261719,2184.27,22.14,0
56,410.994018554688,84.3319320678711,1077.00207519531,1025.68981933594,2401.78,25.74,0
57,411.226379394531,83.912353515625,1060.78649902344,969.923278808594,2164.41,24.22,0
58,421.065460205078,83.9828872680664,1110.42663574219,901.329956054688,2402.15,31.87,0
59,425.652984619141,84.1807708740234,1106.58654785156,886.773010253906,2012.94,28.68,0
60,426.26904296875,84.2871780395508,1039.65576171875,836.777526855469,1542.1,15.93,0
61,430.233581542969,84.6540756225586,1031.47290039062,775.933288574219,1388.07,12.77,0
62,442.974548339844,84.8083038330078,1056.10192871094,756.256103515625,1094.61,15.68,0
63,458.713348388672,83.2246398925781,1037.91101074219,743.165893554688,1529.71,18.04,0
64,481.769317626953,81.6802291870117,1033.62976074219,841.346374511719,1215.18,16.09,0
65,507.908020019531,81.4548110961914,1038.00549316406,878.693176269531,930.55,17.75,0
66,527.710205078125,84.8355407714844,1049.11437988281,927.206970214844,1179.76,23.44,0
67,545.890258789062,87.6746444702148,1071.53247070312,956.395263671875,1287.39,30.89,0
68,559.0947266,85.2172164916992,1073.0673828125,961.19775390625,1590.82,47.2,0
69,578.506958007812,80.942756652832,1073.0634765625,959.028686523438,1492.28,49.69,0
70,601.508422851562,76.5195922851562,1074.43432617188,920.097717285156,775.8,34.77,0
71,625.03955078125,72.4397888183594,1081.22839355469,937.657531738281,894.28,36.03,0
72,644.035705566406,68.8634414672852,1084.80017089844,884.767700195312,679.6,31.55,0
73,656.744018554688,66.53662109,1100.67065429688,835.52392578125,589.1,33.17,0
74,667.592407226562,66.0357131958008,1117.44848632812,729.001159667969,636.08,69.94,0
75,667.720825195312,66.3580322265625,1125.77526855469,787.4833984,905.16,71.41,0
76,660.432067871094,65.82324219,1092.0634765625,902.4892578,1226.57,60.42,0
77,660.580688476562,65.1592178344727,1065.51220703125,944.935363769531,1321.17,65.04,0
78,663.836486816406,65.0839996337891,1064.652344,1002.95166015625,1063.18,55.2,0
79,658.337341308594,64.3040313720703,1061.62036132812,989.698303222656,1371.16,74.72,0
80,642.794189453125,63.7730827331543,1037.00378417969,1004.10998535156,1371.16,82.44,0
