"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
761,3209.690692,1655.392206,1.039973035,2745.506284,1156.298661,1.038434167,0.038834502,335.0832592,1.038389375,189.5934559,248.4349926,471.016488,1.03753969,0.002218003,998.6466518,329.4516668,1.033990657,0.013560946,4646.223355,521.2209184,1.038291784,1
762,3316.000319,1606.270643,1.040241657,3384.3224,843.1423975,1.040005303,0.050352551,447.7710295,1.039234722,189.6600345,225.2180941,427.1487149,1.036224098,0.002062353,992.4764943,281.0683194,1.031900048,0.012918892,5067.859022,467.8463022,1.039075141,1
763,3057.316263,1306.624907,1.040928234,3921.27604,859.9300053,1.040412241,0.051558833,412.3352857,1.040409744,356.7008798,330.6728704,1179.513038,1.036730299,0.003074074,953.9386575,331.0973825,1.032493614,0.013035629,4928.074854,446.7025444,1.039970978,1
764,222.6871571,60.50404841,1.03461446,996.2112078,122.8874768,1.042210682,0.100627277,3215.828871,1.043275007,2206.507312,463.0767914,10217.82326,1.044092479,0.081735342,426.2222958,1677.249769,1.039438696,0.002393108,3169.337153,389.6118463,1.043063249,0
765,59.84599376,36.69788034,1.038621978,737.8755792,107.521636,1.042483021,0.108682129,4103.710414,1.042640093,1956.010438,502.8298316,9835.403991,1.042470679,0.078661268,361.7766421,1699.78561,1.037166566,0.00217909,3751.861328,377.2300533,1.042477778,0
766,70.71067812,41.28511539,1.041585199,458.811545,91.69317279,1.042120692,0.108254093,4643.871069,1.041041864,1514.2815,441.6396753,6687.667898,1.043172379,0.083175098,438.4989333,2297.730215,1.034820724,0.002256915,4578.909906,386.738862,1.042124632,0
767,58.2452138,33.54415625,1.028887244,445.3659381,94.0692453,1.042173131,0.115433417,4584.348358,1.041224542,1595.341133,380.3249219,6067.479917,1.04453312,0.089070316,503.6620312,1947.772765,1.03557737,0.002723863,4956.516989,375.2470962,1.042679948,0
768,106.4699667,33.91277335,1.020546538,449.7224079,99.62645495,1.043151041,0.121114617,2986.147233,1.042363498,1929.346916,388.7201958,7499.761108,1.043813807,0.087902946,447.8632266,1975.810349,1.036492419,0.002529301,3229.125035,361.0142218,1.043103752,0
769,108.7006366,29.81702778,1.017050042,528.1750092,116.265512,1.043247232,0.116600787,3651.467802,1.040879814,1975.411524,377.3908278,7455.021903,1.04333547,0.087533279,472.4394791,2611.548196,1.035366025,0.002276371,3776.175423,370.834017,1.042638569,1
770,76.8252654,23.73894135,1.030850166,879.6121862,139.3861294,1.043666071,0.121231354,3671.405346,1.042381122,1949.70782,345.5015724,6736.271177,1.042822503,0.086852313,455.4847436,2537.149841,1.034117044,0.002237459,3772.3102,364.4185675,1.04301294,1
771,88.61800613,28.5063892,1.029945199,944.9437141,164.9944516,1.045279322,0.123780111,4338.850869,1.041907705,2074.772238,301.9141279,6264.030509,1.042753434,0.087066331,403.3935899,2218.618258,1.038399277,0.002198546,4526.04129,362.0313782,1.043639564,0
772,83.85254916,27.52341026,1.02934594,792.3253613,187.4056434,1.045408732,0.121406459,4078.46748,1.040521041,1386.297565,242.5555558,3362.541764,1.043835585,0.09122995,421.5333503,2365.518671,1.03880197,0.002373652,4464.266625,367.0732378,1.043772693,0
773,53.27450198,24.39575,1.029451669,1474.260685,236.9968505,1.045902691,0.115608523,4234.175619,1.040374716,888.540776,203.4726854,1807.937777,1.044635944,0.087046875,318.3319059,2665.721444,1.041328509,0.002198546,4448.583935,377.6458102,1.044161573,0
