"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSSD.All","SR"
19,469.6636374,438.3184514,2058.622382,1.05207735,0.067282791,830.401403,2308.913689,19173.25167,1.03127435,0.028266735,214.3517443,63.30384359,1.039000903,0.059718453,156.527719,345.7311743,1.012749729,0.00398123,199.4470448,44.41277564,88.57996854,1.02262531,0.01313806,7863.920212,0
20,782.9047667,347.9172831,2723.860993,1.037277778,0.041006671,646.399787,4550.078439,29411.69734,1.054060656,0.017915536,109.0414504,48.42517815,1.03474643,0.058125961,116.9481773,500.9277207,1.032151808,0.002388738,114.1412176,37.98230616,43.35346671,1.038929491,0.009953076,11051.51525,0
21,540.8126034,317.6138991,1717.695996,1.046233342,0.043793532,691.6486643,3928.405112,27170.76148,1.042067391,0.019508028,191.2216778,61.67956542,1.035664326,0.082809589,175.6598538,279.9538309,1.019383102,0.013536183,195.778594,144.7695165,283.4277239,1.053011509,0.015128675,9115.202964,0
22,436.3268557,175.8336784,767.2095601,1.042067989,0.088383311,1016.090908,1317.029301,13382.21498,1.045582684,0.048172886,803.5194623,320.8006373,1.04539664,0.053746608,141.4023445,236.7557133,1.022427729,0.010749322,125.3970965,110.093641,138.0542293,1.069275857,0.017915536,6420.313927,0
23,551.4180384,207.5945616,1144.713859,1.048660193,0.144120534,740.4604267,400.6021653,2966.300503,1.045302973,0.102317617,625.1971521,230.9178721,1.051111098,0.12381626,43.86200443,38.48051817,1.016883946,0.002388738,63.4655391,22.90033744,14.53382261,1.033138485,0.012739937,1869.589184,0
24,1061.577224,387.3947191,4112.494105,1.043262075,0.100725125,1223.001802,490.8536697,6003.149227,1.046086319,0.09355891,308.2825906,76.30374004,1.041774159,0.178359114,66.29890635,93.06337195,1.041120887,0.001990615,391.515213,75.16008186,294.2631545,1.032818469,0.015526798,3609.659588,0
25,822.5208684,437.2393369,3596.384791,1.044580027,0.098734509,656.2384173,258.903248,1699.022577,1.043413874,0.122621891,281.4399643,154.4535788,1.051304606,0.146111149,59.79928621,118.2976457,1.032428694,0.002388738,268.1392088,466.3341443,1250.424685,1.052628121,0.004379353,2109.38634,0
26,582.5237852,464.6226886,2706.537672,1.043331002,0.099530755,568.1864978,248.1708767,1410.073413,1.043092964,0.125010629,332.7703585,129.3211134,1.047607957,0.154869856,91.63749288,176.2657309,1.044410225,0.004379353,269.3058505,584.4424147,1573.937615,1.04161243,0.003184984,1621.782377,0
27,743.6726136,526.8543702,3918.071665,1.046315439,0.078828358,777.3267324,433.3990209,3368.926448,1.045524059,0.086790819,295.6838765,96.56920668,1.043368625,0.138546812,214.4782649,980.3484191,1.037331004,0.008360583,311.2334469,262.1604827,815.9311066,1.044155253,0.013934306,2611.666271,0
28,753.5539456,375.9778792,2833.196144,1.043253681,0.101521371,698.3668807,228.9924409,1599.207366,1.046847656,0.14093555,433.5210118,226.1183237,1.057275855,0.129788105,0,0,1,0.000398123,134.3709625,61.92767308,83.21281035,1.026215148,0.002786861,1859.843774,0
29,999.6942728,1047.496796,10471.76548,1.044666278,0.054542854,385.3349608,164.0738248,632.2338086,1.047417908,0.130982474,184.9289937,103.3126074,1.054335332,0.205829602,0,0,1.030519307,0.000398123,0,41.28511539,0,1,0.000398123,3925.645097,0
30,453.0048476,273.5138894,1239.031178,1.050561106,0.133769335,1072.311068,371.4175309,3982.75129,1.049320705,0.1106782,229.7178399,138.684181,1.055851166,0.160443578,0,0,1.053520547,0.000398123,24.74358297,24.08298398,5.95899312,1.014001062,0.001194369,2204.807947,0
