"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
17,487.8011387,144.2283182,703.5473785,1.044483418,0.102283836,889.2092595,2265.004643,20140.63101,1.042682376,0.030532488,616.9803543,151.7953705,1.045699069,0.097703963,63.1061502,75.77210814,1.016645879,0.005724842,137.3817798,33.37213494,45.84723295,1.030634764,0.017174525,1785.162159,7044.292487,1.043167711,0
18,674.6338897,329.7847078,2224.839402,1.04874097,0.07938447,1162.045992,2413.652864,28047.75637,1.037239925,0.027097583,207.3481581,73.27776107,1.04274403,0.059347524,422.4328895,2100.75023,1.021710478,0.006297326,126.1832108,38.60320828,48.7107677,1.031594903,0.024235163,2065.463541,10518.64847,1.042358314,0
19,708.0491943,222.9519103,1578.609205,1.042240598,0.064118226,892.3796201,5210.844162,46500.51134,1.034900186,0.015457072,112.1328228,48.22852116,1.035144137,0.041982171,314.7492761,1335.541741,1.024714145,0.005152357,167.7093076,62.18570505,104.2912154,1.037445136,0.015266244,2183.384988,15378.54214,1.038191343,0
20,599.6334052,224.6706722,1347.200402,1.042662485,0.048470325,780.344151,6819.301188,53214.01796,1.050995541,0.012212995,132.4349033,58.92319122,1.038498254,0.055721791,125.7268731,165.581686,1.017865942,0.009541403,186.1967892,73.25864225,136.4052397,1.037788405,0.017556181,2230.825483,15545.53021,1.039509716,0
21,797.5707129,387.7916297,3092.912466,1.043764999,0.043699624,969.6869215,4084.382806,39605.72589,1.039462684,0.018701149,141.3948337,55.34390468,1.037682579,0.068507271,75.62697576,105.2204458,1.028454242,0.009541403,137.1965664,95.68432625,131.2756102,1.055396385,0.016220384,2158.701825,13778.66954,1.040863555,0
22,912.8159528,290.9325236,2655.678488,1.048486818,0.083391859,1058.125228,1312.768371,13890.73332,1.045921452,0.048088669,600.2229996,120.1216116,1.039923719,0.082819375,129.9237248,161.9232133,1.017488143,0.007633122,228.8773596,119.4516005,273.3976692,1.046205105,0.014312104,1531.648477,6483.301845,1.043822899,0
23,772.8680574,309.8253451,2394.541126,1.044220263,0.105337085,1109.550124,585.2476421,6493.615939,1.047718171,0.08224689,822.3994687,127.7692256,1.045533644,0.124801546,139.2233505,303.2487482,1.023894013,0.005534014,295.7355204,149.1636874,441.1300073,1.05408338,0.013930448,1182.951222,3564.716842,1.0456562,0
24,682.1468779,525.2816882,3583.192636,1.045245726,0.091024981,700.0271994,271.0035305,1897.098425,1.046338504,0.119649189,299.4810254,106.6408835,1.046471958,0.15972308,146.642533,597.847697,1.043642276,0.001908281,433.3773187,141.9175841,615.0386209,1.039860684,0.01373962,793.1087059,2054.445464,1.045892177,0
25,632.3014555,447.3432861,2828.558109,1.044413451,0.097131479,806.446273,340.6921085,2747.498812,1.045599834,0.109535302,336.8999905,108.7115168,1.04580973,0.154379894,178.4657255,496.187273,1.03234954,0.003053249,331.5462736,116.4010892,385.9234737,1.036407315,0.01373962,785.5427322,2079.037905,1.044939264,0
26,764.399388,429.7906573,3285.317154,1.04763945,0.099993899,928.5774227,333.3155244,3095.092706,1.046686138,0.108390334,329.0122439,124.1038941,1.047544111,0.150563333,171.6608111,693.3483937,1.030408869,0.002862421,303.7585952,184.0628061,559.1065941,1.034149913,0.005724842,888.7661502,2418.182119,1.046974939,0
27,841.3850592,340.6776775,2866.411078,1.043546903,0.104382945,846.6749588,503.0892628,4259.530809,1.044447027,0.087590076,322.8470138,99.49373611,1.045706912,0.1625855,160.1561432,379.0917182,1.034629857,0.005724842,362.7221894,225.6606875,818.5213864,1.048067445,0.012594651,961.4347075,2578.416189,1.044715956,0
28,949.9023155,477.2073631,4533.003792,1.044468152,0.090834153,676.9872289,244.235464,1653.4429,1.046783064,0.132053012,259.2702586,140.4999834,1.056668134,0.171936075,71.47100799,343.0175744,1.038096229,0.000381656,81.26642421,45.70852061,37.14568025,1.020423871,0.001335796,945.3636718,2384.026886,1.050441708,0
29,666.3488617,645.1305224,4298.819892,1.046378897,0.077857845,527.8972367,177.1506769,935.1735284,1.048625362,0.1469376,245.2089018,120.6965922,1.054370648,0.195789581,40.40610178,29.19298505,1.008481975,0.000381656,119.8638684,72.24895193,86.60038863,1.032772565,0.001144968,821.2129786,1945.487589,1.050796566,0
30,1030.055365,385.710678,3973.033533,1.045790978,0.10972613,1005.657805,395.174948,3974.107709,1.047346675,0.09694065,275.6574664,110.0001512,1.051314693,0.175561808,70.71067812,72.98246263,1.026402413,0.000381656,46.48111259,18.57830192,8.635401434,1.017803783,0.00095414,1122.042295,2925.30365,1.048623515,0
31,664.678436,247.386772,1644.326527,1.049046891,0.133770465,837.3389214,705.8977861,5910.756908,1.04655746,0.070988035,275.1524937,104.7758668,1.04983193,0.158768939,46.8388466,67.68115153,1.02366926,0.000572484,55.27707984,41.28511539,22.82120619,1.022692081,0.001908281,1024.427963,2798.920767,1.048727498,0
32,508.7658129,202.8287676,1031.923429,1.05017865,0.113351863,1630.602674,1054.150996,17189.01432,1.038618174,0.059920008,198.6162479,102.0212988,1.048104095,0.13224384,81.00925873,111.4825531,1.01936581,0.001144968,166.7136868,44.42637417,74.06484627,1.021166051,0.004389045,2354.675632,7570.093922,1.046546857,0
33,360.0342816,138.0899061,497.1710013,1.046412672,0.120794157,1410.633412,1682.07907,23727.96939,1.03388951,0.040837203,259.1781587,102.5519749,1.046811291,0.125183202,92.33229587,185.1518323,1.019301953,0.002671593,287.386365,243.5057269,699.8022571,1.03023719,0.005152357,2604.694049,8840.304096,1.044317626,0
34,414.3706819,108.9149083,451.311448,1.044956226,0.0891167,703.8883684,8699.599514,61235.46908,1.029742887,0.009541403,171.5520082,57.16255712,1.040949114,0.104573773,111.9739625,210.3400372,1.022321194,0.002862421,238.5716994,101.1485327,241.3117734,1.02956294,0.007633122,2765.78233,12940.69966,1.041463528,0
35,543.0613305,90.02619937,488.8974761,1.042149499,0.127854795,589.5149274,12525.90401,73842.07393,1.031223791,0.006678982,123.452597,48.90020527,1.038979942,0.093887402,65.63142973,69.67545812,1.01965345,0.001335796,148.152583,29.74956844,44.07475406,1.029166549,0.003244077,2914.04179,12506.56068,1.040249414,0
36,338.024907,97.34033671,329.0345827,1.042352384,0.066408162,1141.01589,2602.555996,29695.57746,1.041555319,0.025952615,608.8893387,187.8890978,1.053410887,0.131862184,149.4798587,906.4086909,1.039934123,0.000763312,289.3735213,179.6840817,519.9581546,1.032405788,0.004198217,2298.689915,10029.86681,1.048434421,0
37,976.6878111,220.0432995,2149.136085,1.046100493,0.086635936,905.4323016,1890.454924,17116.78953,1.038146326,0.033204081,589.8476659,179.0617026,1.049609592,0.094650714,96.67956752,349.2498713,1.036939262,0.001335796,385.6204689,104.0496489,401.236744,1.032184293,0.007060638,1512.838283,6787.462542,1.045909962,0
38,982.0241414,157.5343926,1547.025767,1.043656012,0.113161035,1260.209108,2092.639286,26371.63089,1.038144179,0.032059113,747.7985611,169.8429134,1.044423816,0.081674406,180.2116524,682.0053959,1.035058123,0.001717452,123.966052,32.79873056,40.65929138,1.032703508,0.017174525,2361.467821,9607.79995,1.042366824,0
39,560.1899897,145.3495898,814.2338521,1.043981785,0.136442057,1070.306013,3200.810711,34258.4695,1.038570383,0.022708538,270.717477,68.70776002,1.040835047,0.091215809,96.59224504,170.5318611,1.025163762,0.003625733,201.7397021,44.32078564,89.41262092,1.034877788,0.012976308,2671.800885,10007.92766,1.041748253,0
40,620.2366036,240.774349,1493.370645,1.047685955,0.106482053,924.23612,1575.074067,14557.40344,1.042590975,0.041982171,172.0494675,48.22505057,1.038528693,0.144456835,77.70959505,152.3918559,1.023920421,0.002862421,188.5285493,58.05719351,109.4543847,1.035559135,0.012212995,1681.362764,5459.032472,1.041994788,0
41,914.7697546,208.5069991,1907.358964,1.047314754,0.091788293,1068.142309,3401.346568,36331.22177,1.033758796,0.022326882,114.1086274,44.38363595,1.03762476,0.092169949,94.22414952,122.3319891,1.014268539,0.003625733,150.9726783,34.15405,51.56328402,1.023420486,0.010495543,2562.62516,11626.81827,1.040207934,0
42,180.4544701,89.75520942,161.9672876,1.044861044,0.069079755,331.4844109,42291.90922,140191.0862,1.039693438,0.002099109,127.2205297,48.13578877,1.034479756,0.065263194,90.97807834,152.5891438,1.022671951,0.005343185,162.7563936,58.10068205,94.56257474,1.032513595,0.016983697,2559.106176,16118.43089,1.038457845,0
