"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","LPI.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
18,713.9143597,221.3720845,1580.407099,1.046897335,0.087830771,1758.221926,2873.173941,50516.7742,1.03536635,0.024580364,735.4952352,85.21396099,1.042201125,471.2774759,1664.562435,1.026808874,0.005896224,182.2608323,47.74089598,1.032916739,0.05690485,0.019832755,3715.295713,16952.76256,1.042062317,0
19,717.5497793,209.1069056,1500.44614,1.042575312,0.064552171,1458.468414,4780.260238,69718.58566,1.039054723,0.016769781,114.846121,46.931902,1.036473871,442.4722883,1873.918084,1.025026666,0.004671035,316.619492,81.77628625,1.03863414,0.254491136,0.01692293,3685.49917,22159.15621,1.039000511,0
20,636.7347845,204.8752318,1304.511866,1.043871566,0.055056952,1268.391179,6527.987248,82800.41445,1.033230566,0.012481618,145.6789213,53.73984293,1.037600719,149.3628995,255.2392752,1.023929476,0.00811688,491.2199819,112.9172578,1.04027575,0.652034744,0.01922016,3741.391425,22895.78054,1.039015286,0
21,1146.607116,301.8728318,3461.295372,1.043340026,0.056282142,1625.512851,3491.2928,56751.41313,1.039937751,0.021364242,646.3848268,68.68417289,1.039415352,132.4530437,240.6585126,1.02594336,0.00811688,184.9378591,92.93451495,1.048037108,0.124874533,0.018377842,3540.748064,19626.21095,1.040973745,0
22,1125.761113,295.8426884,3330.481943,1.046447197,0.085303818,1673.078628,1398.426142,23396.76892,1.044175734,0.04425997,733.0391886,103.4114338,1.0427228,212.8103409,459.5199407,1.023973445,0.007734009,207.0090702,106.125542,1.050270231,0.127245568,0.012481618,2488.645681,10146.65402,1.044073197,0
23,1031.543382,421.5224947,4348.1874,1.043743688,0.08622271,2066.604546,774.1204296,15998.00799,1.045315322,0.064475597,857.8404996,93.62585648,1.04325043,178.2165027,413.7367078,1.023383366,0.00528363,365.6106111,130.021305,1.052130477,0.403076023,0.011792449,2278.796597,7993.357706,1.043865726,0
24,1353.10407,602.8945294,8157.790414,1.044476592,0.080326486,928.8227601,350.1810014,3252.560843,1.044987136,0.096866544,483.6068517,117.8150864,1.046449909,146.6346957,430.8309253,1.029774015,0.00229723,495.3415072,124.4585378,1.043392608,0.454448458,0.011792449,1440.497498,4460.932272,1.045289957,0
25,1250.026913,543.0010916,6787.659782,1.044684177,0.085380392,1450.822544,421.9835482,6122.232449,1.04434542,0.08974513,317.3176483,96.80951777,1.045015474,141.4878151,395.9594566,1.038066112,0.002680102,503.0576699,104.1576943,1.03472592,0.392801536,0.010873557,1559.418025,4695.586549,1.044356253,0
26,1134.799691,470.8867728,5343.621644,1.045590717,0.091582914,1766.840354,355.9791185,6289.582719,1.046035555,0.101614153,322.4293373,120.6596585,1.048556607,209.4959761,639.5318659,1.033764652,0.003981866,461.5036698,120.7256681,1.039906758,0.407027749,0.011869023,1546.371007,4311.352517,1.046634628,0
27,1080.273352,423.7571814,4577.735906,1.043651717,0.085150669,1215.058421,450.1428664,5469.498804,1.047294855,0.092425232,428.4091064,111.8891611,1.045886661,357.2123898,1466.181313,1.039897779,0.006585393,514.9195724,162.5601418,1.039472366,0.678906478,0.013477084,1276.885551,3614.024603,1.045360105,0
28,2088.00757,383.5788395,8009.155203,1.044335376,0.105596019,1551.953593,336.3544288,5220.064642,1.046453908,0.107357228,499.4487416,150.8613218,1.055691134,105.3722088,302.7086392,1.033733907,0.000459446,117.1287147,53.08086264,1.026260376,0.018177938,0.001072041,1898.27147,5154.900249,1.049628761,0
29,1018.888205,551.6723544,5620.924549,1.043105054,0.084231777,679.1467613,221.3790506,1503.488652,1.048178664,0.130865552,458.235788,154.3804037,1.056513527,103.8995589,185.8785621,1.011236521,0.000229723,116.4154175,58.17448077,1.033977934,0.018177938,0.000842318,1067.877514,2850.118704,1.050509578,0
30,1471.996924,494.3822711,7277.291825,1.046293327,0.090510873,1475.92578,380.7582958,5619.709847,1.04721527,0.09380357,254.1988633,112.4594105,1.053992156,46.28189528,73.56400539,1.021998275,0.000382872,69.9866654,32.2539964,1.023599538,0.006322761,0.001225189,1670.130629,4655.406062,1.050139872,0
31,672.1420659,265.1664382,1782.295176,1.049761288,0.126730537,1521.719774,621.2747316,9454.060441,1.045849605,0.07634462,249.224761,116.0787031,1.052034246,38.18085617,59.11128947,1.018475239,0.000459446,334.9848057,144.0491526,1.032336095,0.180198693,0.00176121,1628.414881,4450.774994,1.04981946,0
32,634.6490111,233.460899,1481.657287,1.04888536,0.110649925,2336.378165,1035.082823,24183.44907,1.041220331,0.056435291,256.9781414,110.5620919,1.050873318,59.56144938,77.74783554,1.019462594,0.001301764,445.6877863,127.7872619,1.022136038,0.283733907,0.003216122,3204.905098,10377.76123,1.047965359,0
33,393.9734255,133.8506169,527.3358603,1.046128902,0.113942622,1863.307837,2613.051281,48689.18929,1.034939118,0.027719912,233.1740418,89.28230771,1.047408117,105.6183119,217.6598378,1.018994017,0.00229723,326.002846,211.414195,1.026982376,0.283733907,0.004594461,4215.632723,15595.69682,1.04500154,0
34,431.9432153,109.6212713,473.5016439,1.04508877,0.100388963,1166.349283,7630.865494,89002.54498,1.036319325,0.010567259,206.7166532,69.69567959,1.04560906,111.3929147,181.9552651,1.020504745,0.00176121,227.5948406,85.69789103,1.029083359,0.101954524,0.005053907,4362.96471,19190.58549,1.044385692,0
35,418.4662148,85.73618891,358.7769845,1.043707929,0.123820712,868.6584551,14258.71092,123859.498,1.034273327,0.00581965,157.1889174,54.37950764,1.04093016,108.6301632,214.6301365,1.023181407,0.001608061,266.6725994,109.1323455,1.034842757,0.132777984,0.005207055,4609.175804,19373.08315,1.041959792,0
36,616.8851585,138.3913224,853.7155283,1.043202166,0.075196005,1661.558076,3060.259178,50847.98352,1.036092301,0.021900262,572.8985137,165.572264,1.05343781,158.378752,702.9086432,1.038973467,0.000765743,363.9571085,91.49201418,1.030077652,0.186521454,0.004517886,3646.534522,15572.54414,1.048030645,0
37,1200.449764,204.0198653,2449.155991,1.046018981,0.091659488,1851.980432,2322.033939,43003.61416,1.039348869,0.028026209,805.0400348,163.3083309,1.048895326,129.0577763,351.1745237,1.033379606,0.000842318,374.2617697,83.82129488,1.034252658,0.186521454,0.005053907,3406.663355,15420.55923,1.046096686,0
38,1138.764463,182.4632177,2077.826281,1.045648778,0.100465538,1804.661272,2622.781815,47332.32767,1.036698828,0.026188425,850.3265243,115.087972,1.042307928,184.4462877,425.9577008,1.033525336,0.001837784,309.7366809,45.74203125,1.029787136,0.125664878,0.013477084,3813.920374,15520.96169,1.042323647,0
39,626.3513402,177.5869001,1112.317929,1.045968715,0.121982928,1792.168275,2655.888373,47597.98885,1.040660923,0.026188425,368.4000425,72.52114531,1.041798234,79.3767932,164.5007954,1.030897864,0.002909825,182.0834382,37.14153629,1.030238198,0.051372434,0.010490685,4000.253527,14870.51774,1.043009927,0
