"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","SR"
18,481.5287482,399.557779,1923.985572,1.048991238,0.082813294,499.232878,1417.664139,7077.445482,1.051690429,0.042924168,209.4356181,80.08691556,1.042489317,0.057665802,61.77467611,71.33079046,1.018446376,0.006937239,142.358667,27.84797877,39.64401136,1.026621247,0.022979605,729.2725485,3418.676992,0
19,567.8708127,272.2819949,1546.209977,1.036198813,0.067204506,489.0037738,3636.392963,17782.09882,1.038800996,0.021678873,127.7387556,48.27694944,1.03517225,0.040322704,46.31925705,50.19776664,1.017317268,0.006070084,83.37880594,30.4477726,25.38698923,1.023340786,0.008671549,1012.479307,7033.660112,0
20,429.989531,184.175607,791.9358286,1.041685366,0.05289645,495.7572715,7853.6675,38935.12771,1.052005767,0.010839436,136.6597977,59.8435687,1.034547988,0.045092056,49.96496366,61.34143416,1.020156838,0.008237972,199.8348329,99.14683013,198.1299023,1.037268791,0.014308056,1470.402436,11192.49453,0
21,544.473528,326.2375355,1776.277019,1.044114542,0.042057013,624.8182272,4621.094572,28873.44118,1.033105493,0.017343098,145.0910618,49.87415163,1.034707543,0.062001576,91.51328416,127.3231999,1.023397367,0.010839436,172.8522558,76.9608401,133.0285482,1.044876827,0.019944563,1489.604789,9788.074116,0
22,636.0125509,254.0130661,1615.554982,1.048773809,0.097988505,741.9936985,1024.714008,7603.31337,1.048403411,0.061567999,442.7679704,136.6983011,1.041888106,0.076309632,58.86562696,56.0832508,1.021007173,0.005636507,138.288939,75.79689153,104.8187171,1.052231951,0.013874479,992.4280875,3886.127615,0
23,564.0155234,260.9071846,1471.557023,1.042409163,0.121401688,885.482216,385.9687356,3417.684513,1.051864769,0.114030871,622.1015743,161.3618239,1.046422723,0.12790535,70.44018629,107.072104,1.020863952,0.004769352,248.2324097,144.7175055,359.2357512,1.052701343,0.02037814,818.6696861,2107.337064,0
24,476.355799,471.9766698,2248.288237,1.045862574,0.095820618,611.2780578,250.9801657,1534.186683,1.046211716,0.139611941,280.1355501,85.26700197,1.044335116,0.18253611,132.367207,603.0792083,1.033838308,0.003035042,370.5665591,238.1539526,882.5189078,1.045349303,0.011706591,603.0190796,1393.586139,0
25,474.0425926,349.592863,1657.219071,1.045030864,0.12443673,478.0165374,273.603796,1307.871392,1.047224421,0.12443673,283.6587884,112.103395,1.046367125,0.175165293,154.3142654,285.0969808,1.028886243,0.004335775,230.7979424,201.9380644,466.0688976,1.040940262,0.009972282,503.251085,1148.066039,0
26,624.2329609,375.8206114,2345.99613,1.049125647,0.113597294,571.4612776,304.0155792,1737.331313,1.046546256,0.116198759,325.0233307,127.6623752,1.048040767,0.158689349,71.94688754,113.0377697,1.022602697,0.003902197,210.5243441,159.9798221,336.7964713,1.036555492,0.006937239,633.801402,1587.182518,0
27,532.2001598,353.4177898,1880.890042,1.043335956,0.10405859,659.120538,465.5515085,3068.545607,1.0473336,0.094086308,336.7854698,93.87829855,1.045255515,0.167794476,106.4119246,201.6891305,1.030946205,0.004769352,288.2603264,172.3932521,496.9413512,1.041175246,0.016042366,703.6705555,1819.440385,0
28,395.0056287,390.3581677,1541.936735,1.047183246,0.108827942,497.0419042,206.9673015,1028.714216,1.045101844,0.15695504,233.0965418,141.454775,1.058010444,0.176466025,0,0,0,0,96.21752699,55.04682052,52.96468939,1.01962785,0.001300732,445.3850923,1004.137875,0
